abbey {1>a|b>bb|i0>ey
abbot {1>a|b>bb|V0>o|t>t
abc EI0>a|b;i1>b|s;i0>c
abdomen {1>a|b>b|d>d|V0>o|m>m|E0>e|n>n
abel EI1>a|b>b|E0>e|l>l
ability V0>a|b>b|I1>i|l>l|I0>i|t>t|i0>y
abraham EI1>a|b>b|r>r|V0>a|h>h|{2>a|m>m
ac EI1>a|s;i1>c
academy V0>a|k>c|{1>a|d>d|E0>e|m>m|i0>y
access {1>a|k>c|s>c|E2>e|s>ss
accident {1>a|k>c|s>c|I0>i|d>d|E0>e|n>n|t>t
accordion V0>a|k>cc|O1>o|r>r|d>d|i0>i|V0>o|n>n
account V0>a|k>cc|aU1>ou|n>n|t>t
ace EI1>a|s>ce
ache EI1>a|k>che
acid {1>a|s>c|I0>i|d>d
acorn EI1>a|k>c|O0>o|r>r|n>n
acre EI1>a|k>c|r=0>re
act {1>a|k>c|t>t
action {1>a|k>c|S>ti|V0>o|n>n
activity {0>a|k>c|t>t|I1>i|v>v|I0>i|t>t|i0>y
actor {1>a|k>c|t>t|r=0>or
actress {1>a|k>c|t>t|r>r|E0>e|s>ss
ad {1>a|d>d
ada EI1>a|d>d|V0>a
adam {1>a|d>d|V0>a|m>m
addition V0>a|d>dd|I1>i|S>ti|V0>o|n>n
address {1>a|d>dd|r>r|E2>e|s>ss
administration {0>a|d>d|m>m|I2>i|n>n|I0>i|s>s|t>t|r>r|EI1>a|S>ti|V0>o|n>n
admiral {1>a|d>d|m>m|r=0>ir|V0>a|l>l
adolescent {2>a|d>d|V0>o|l>l|E1>e|s>sc|E0>e|n>n|t>t
adornment V0>a|d>d|O1>o|r>r|n>n|m>m|E0>e|n>n|t>t
adult {1>a|d>d|V0>u|l>l|t>t
advance V0>a|d>d|v>v|{1>a|n>n|s>ce
advantage {0>a|d>d|v>v|{1>a|n>n|t>t|EI0>a|dZ>ge
advent {1>a|d>d|v>v|E2>e|n>n|t>t
adventure {0>a|d>d|v>v|E1>e|n>n|tS>t|r=0>ure
advice {0>a|d>d|v>v|AI1>i|s>ce
adviser {0>a|d>d|v>v|AI1>i|z>s|r=0>er
advocate {1>a|d>d|v>v|V0>o|k>c|EI2>a|t>te
aerodrome E1>ae|r>r|V0>o|d>d|r>r|@U2>o|m>me
